Num of digits,Num of ones,Classes
n=3,k = 0,0(0)0| (0)0|0 0|0(0) 
n=3,k = 1,0|0(1) 
n=3,k = 2,(0)1|1 
n=3,k = 3,1(1)1| (1)1|1 1|1(1) 
n=4,k = 0,(0)0(0)0 |00|00 0(0)0(0) 0|00|0 
n=4,k = 1,0(0)0(1) 
n=4,k = 2,0|01|1 (0)1(0)1 0(1)0(1) 
n=4,k = 3,(0)1(1)1 
n=4,k = 4,(1)1(1)1 |11|11 1(1)1(1) 1|11|1 
n=5,k = 0,00(0)00| 0(0)00|0 (0)00|00 00|00(0) 0|00(0)0 
n=5,k = 1,00|00(1) 
n=5,k = 2,0(0)01|1 0|01(0)1 
n=5,k = 3,0|01(1)1 0(1)01|1 
n=5,k = 4,(0)11|11 
n=5,k = 5,11(1)11| 1(1)11|1 (1)11|11 11|11(1) 1|11(1)1 
n=6,k = 0,(0)00(0)00 |000|000 0(0)00(0)0 0|000|00 00(0)00(0) 00|000|0 
n=6,k = 1,0(0)00(0)1 
n=6,k = 2,0|000|11 00(0)10(1) 0(0)10(0)1 00|100|1 
n=6,k = 3,00(0)11(1) (0)10(1)01 0(1)01(0)1 01(0)10(1) 
n=6,k = 4,00|111|1 01(0)11(1) (0)11(0)11 0|110|11 
n=6,k = 5,(0)11(1)11 
n=6,k = 6,(1)11(1)11 |111|111 1(1)11(1)1 1|111|11 11(1)11(1) 11|111|1 
n=7,k = 0,000(0)000| 00(0)000|0 0(0)000|00 (0)000|000 000|000(0) 00|000(0)0 0|000(0)00 
n=7,k = 1,000|000(1) 
n=7,k = 2,00(0)001|1 00|001(0)1 0(0)010|01 
n=7,k = 3,00|001(1)1 00(1)001|1 0|010(1)01 
n=7,k = 4,0(0)011|11 0|011(0)11 01(0)101|1 
n=7,k = 5,0|011(1)11 0(1)011|11 01|101(1)1 
n=7,k = 6,(0)111|111 
n=7,k = 7,111(1)111| 11(1)111|1 1(1)111|11 (1)111|111 111|111(1) 11|111(1)1 1|111(1)11 
n=8,k = 0,(0)000(0)000 |0000|0000 0(0)000(0)00 0|0000|000 00(0)000(0)0 00|0000|00 000(0)000(0) 000|0000|0 
n=8,k = 1,0(0)000(0)01 
n=8,k = 2,0|0000|011 00(0)001(0)1 00|0010|01 0(0)010(0)01 000(1)000(1) 
n=8,k = 3,00(0)001(1)1 000(1)010(1) 00(1)001(0)1 
n=8,k = 4,00|0011|11 000(1)101(1) 00(1)001(1)1 001|0110|1 0|0110|011 001|1001|1 (0)101(0)101 0(1)010(1)01 01(0)101(0)1 010(1)010(1) 
n=8,k = 5,000(1)111(1) 01(0)101(1)1 010(1)101(1) 
n=8,k = 6,001|1111|1 010(1)111(1) 01|1011|11 (0)111(0)111 01(1)101(1)1 
n=8,k = 7,(0)111(1)111 
n=8,k = 8,(1)111(1)111 |1111|1111 1(1)111(1)11 1|1111|111 11(1)111(1)1 11|1111|11 111(1)111(1) 111|1111|1 
n=9,k = 0,0000(0)0000| 000(0)0000|0 00(0)0000|00 0(0)0000|000 (0)0000|0000 0000|0000(0) 000|0000(0)0 00|0000(0)00 0|0000(0)000 
n=9,k = 1,0000|0000(1) 
n=9,k = 2,000(0)0001|1 000|0001(0)1 00(0)0010|01 00|0010(0)01 
n=9,k = 3,000|0001(1)1 00|0010(1)01 000(1)0001|1 00(1)0010|01 0010|0100(1) 0|0100(1)001 
n=9,k = 4,00(0)0011|11 00|0011(0)11 0(0)0101|101 0(0)0110|011 001(0)1001|1 0|0101(0)101 
n=9,k = 5,00|0011(1)11 00(1)0011|11 0|0101(1)101 001|1001(1)1 0|0110(1)011 010(1)0101|1 
n=9,k = 6,0(0)0111|111 0|0111(0)111 01(0)1011|11 011(0)1101|1 (0)1101|1011 01|1011(0)11 
n=9,k = 7,0|0111(1)111 0(1)0111|111 01|1011(1)11 01(1)1011|11 
n=9,k = 8,(0)1111|1111 
n=9,k = 9,1111(1)1111| 111(1)1111|1 11(1)1111|11 1(1)1111|111 (1)1111|1111 1111|1111(1) 111|1111(1)1 11|1111(1)11 1|1111(1)111 
