"digits","system","cycle length","magic numbers"
"1","2","1","['0']"
"1","3","1","['0']"
"1","4","1","['0']"
"1","5","1","['0']"
"1","6","1","['0']"
"1","7","1","['0']"
"1","8","1","['0']"
"1","9","1","['0']"
"1","10","1","['0']"
"2","2","1","['0', '1']"
"2","3","3","['0']"
"2","4","3","['0']"
"2","5","3","['0', '13']"
"2","6","4","['0']"
"2","7","4","['0']"
"2","8","4","['0', '25']"
"2","9","4","['0']"
"2","10","6","['0']"
"3","2","1","['0', '11']"
"3","3","2","['0']"
"3","4","3","['0', '132']"
"3","5","4","['0']"
"3","6","4","['0', '253']"
"3","7","5","['0']"
"3","8","5","['0', '374']"
"3","9","6","['0']"
"3","10","6","['0', '495']"
"4","2","1","['0', '111', '1001']"
"4","3","3","['0']"
"4","4","4","['0', '3021']"
"4","5","4","['0', '3032']"
"4","6","9","['0']"
"4","7","6","['0']"
"4","8","9","['0']"
"4","9","6","['0']"
"4","10","7","['0', '6174']"
"5","2","1","['0', '1111', '10101']"
"5","3","4","['0', '20211']"
"5","4","5","['0']"
"5","5","6","['0']"
"5","6","6","['0', '41532']"
"5","7","10","['0']"
"5","8","11","['0']"
"5","9","11","['0', '62853']"
"5","10","9","['0']"
