"digits"; "base"; "kaprekar"
"1";"2";"{0}"
"1";"3";"{0}"
"1";"4";"{0}"
"1";"5";"{0}"
"1";"6";"{0}"
"1";"7";"{0}"
"1";"8";"{0}"
"1";"9";"{0}"
"1";"10";"{0}"
"2";"2";"{0, 1}"
"2";"3";"{0}"
"2";"4";"{0}"
"2";"5";"{0, 13}"
"2";"6";"{0}"
"2";"7";"{0}"
"2";"8";"{0, 25}"
"2";"9";"{0}"
"2";"10";"{0}"
"3";"2";"{0, 11}"
"3";"3";"{0}"
"3";"4";"{0, 132}"
"3";"5";"{0}"
"3";"6";"{0, 253}"
"3";"7";"{0}"
"3";"8";"{0, 374}"
"3";"9";"{0}"
"3";"10";"{0, 495}"
"4";"2";"{0, 1001, 111}"
"4";"3";"{0}"
"4";"4";"{0, 3021}"
"4";"5";"{3032, 0}"
"4";"6";"{0}"
"4";"7";"{0}"
"4";"8";"{0}"
"4";"9";"{0}"
"4";"10";"{0, 6174}"
"5";"2";"{0, 10101, 1111}"
"5";"3";"{0, 20211}"
"5";"4";"{0}"
"5";"5";"{0}"
"5";"6";"{0, 41532}"
"5";"7";"{0}"
"5";"8";"{0}"
"5";"9";"{0, 62853}"
"5";"10";"{0}"
"6";"2";"{0, 110001, 101101, 11111}"
"6";"3";"{0}"
"6";"4";"{213312, 330201, 310221, 0}"
"6";"5";"{0}"
"6";"6";"{420432, 0, 325523, 530421}"
"6";"7";"{0}"
"6";"8";"{640632, 0, 437734}"
"6";"9";"{0}"
"6";"10";"{0, 549945, 631764}"
