"digits","base","loop","magic"
"2","2","1", "[00, 01]"
"2","3","3", "[00]"
"2","4","3", "[00]"
"2","5","2", "[00, 13]"
"2","6","4", "[00]"
"2","7","4", "[00]"
"2","8","4", "[00, 25]"
"2","9","5", "[00]"
"2","10","6", "[00]"
"2","11","3", "[00, 37]"
"2","12","7", "[00]"
"2","13","6", "[00]"
"2","14","5", "[00, 49]"
"2","15","5", "[00]"
"3","2","1", "[000, 011]"
"3","3","3", "[000]"
"3","4","2", "[000, 132]"
"3","5","5", "[000]"
"3","6","3", "[000, 253]"
"3","7","6", "[000]"
"3","8","4", "[000, 374]"
"3","9","7", "[000]"
"3","10","5", "[000, 495]"
"3","11","8", "[000]"
"3","12","6", "[000, 5B6]"
"3","13","9", "[000]"
"3","14","7", "[000, 6D7]"
"3","15","10", "[000]"
"4","2","1", "[0000, 0111, 1001]"
"4","3","4", "[0000]"
"4","4","5", "[0000, 3021]"
"4","5","3", "[0000, 3032]"
"4","6","9", "[0000]"
"4","7","6", "[0000]"
"4","8","8", "[0000]"
"4","9","6", "[0000]"
"4","10","6", "[0000, 6174]"
"4","11","8", "[0000]"
"4","12","11", "[0000]"
"4","13","9", "[0000]"
"4","14","8", "[0000]"
"4","15","7", "[0000, 92B6]"
"5","2","1", "[00000, 01111, 10101]"
"5","3","3", "[00000, 20211]"
"5","4","4", "[00000]"
"5","5","7", "[00000]"
"5","6","5", "[00000, 41532]"
"5","7","11", "[00000]"
"5","8","9", "[00000]"
"5","9","10", "[00000, 62853]"
"5","10","10", "[00000]"
"5","11","11", "[00000]"
"5","12","12", "[00000, 83B74]"
"5","13","11", "[00000]"
"5","14","12", "[00000]"
"5","15","11", "[00000, A4E95]"
"6","2","1", "[000000, 011111, 101101, 110001]"
"6","3","5", "[000000]"
"6","4","5", "[000000, 310221, 213312, 330201]"
"6","5","8", "[000000]"
"6","6","7", "[000000, 420432, 530421, 325523]"
"6","7","12", "[000000]"
"6","8","10", "[000000, 640632, 437734]"
"6","9","17", "[000000]"
"6","10","18", "[000000, 631764, 549945]"
"6","11","19", "[000000]"
"6","12","20", "[000000, 65BB56]"
"6","13","16", "[000000, 951A74]"
"6","14","28", "[000000, 76DD67]"
"6","15","21", "[000000]"
"7","2","1", "[0000000, 0111111, 1011101, 1101001]"
"7","3","6", "[0000000, 2202101]"
"7","4","4", "[0000000, 3203211]"
"7","5","10", "[0000000]"
"7","6","12", "[0000000]"
"7","7","17", "[0000000]"
"7","8","16", "[0000000, 6417532]"
"7","9","13", "[0000000]"
"7","10","18", "[0000000]"
"7","11","27", "[0000000]"
"7","12","27", "[0000000, 962B853]"
"7","13","15", "[0000000]"
"7","14","24", "[0000000]"
"7","15","23", "[0000000]"
"8","2","1", "[00000000, 01111111, 10111101, 11011001, 11100001]"
"8","3","4", "[00000000, 21022111]"
"8","4","9", "[00000000, 31102221, 33102201, 33302001]"
"8","5","9", "[00000000]"
"8","6","11", "[00000000, 43155322, 55304201]"
"8","7","13", "[00000000]"
"8","8","17", "[00000000, 75306421]"
"8","9","13", "[00000000, 65288533]"
"8","10","22", "[00000000, 97508421, 63317664]"
"8","11","14", "[00000000, 74318764]"
"8","12","48", "[00000000, A850A632, 873BB744]"
"8","13","18", "[00000000, 9541A874]"
"8","14","25", "[00000000, CA70C632]"
"8","15","33", "[00000000, A94EE955]"
"9","2","1", "[000000000, 011111111, 101111101, 110111001, 111010001]"
"9","3","7", "[000000000, 222021001]"
"9","4","4", "[000000000, 321032211, 221333112, 332032101]"
"9","5","9", "[000000000, 432043211]"
"9","6","10", "[000000000, 332555223]"
"9","7","25", "[000000000]"
"9","8","16", "[000000000, 443777334]"
"9","9","16", "[000000000, 753186532]"
"9","10","21", "[000000000, 864197532, 554999445]"
"9","11","23", "[000000000, 9751A8532]"
"9","12","31", "[000000000, 665BBB556]"
"9","13","19", "[000000000]"
"9","14","27", "[000000000, B852DA853, 776DDD667]"
"9","15","44", "[000000000, C962EB853]"
