---,Length = 2,Length = 3,Length = 4,Length = 5,Length = 6,
Base: 2,{'Max len of loop': 0; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['1001']},{'Max len of loop': 0; 'List of fixed points': ['10101']},{'Max len of loop': 0; 'List of fixed points': ['101101'; '110001']},
Base: 3,{'Max len of loop': 0; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['20211']},{'Max len of loop': 2; 'List of fixed points': []},
Base: 4,{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['132']},{'Max len of loop': 1; 'List of fixed points': ['3021']},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['213312'; '310221'; '330201']},
Base: 5,{'Max len of loop': 0; 'List of fixed points': ['13']},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['3032']},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 4; 'List of fixed points': []},
Base: 6,{'Max len of loop': 2; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['253']},{'Max len of loop': 5; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': ['41532']},{'Max len of loop': 2; 'List of fixed points': ['325523'; '420432'; '530421']},
Base: 7,{'Max len of loop': 0; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 2; 'List of fixed points': []},{'Max len of loop': 4; 'List of fixed points': []},{'Max len of loop': 5; 'List of fixed points': []},
Base: 8,{'Max len of loop': 2; 'List of fixed points': ['25']},{'Max len of loop': 0; 'List of fixed points': ['374']},{'Max len of loop': 4; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 2; 'List of fixed points': ['437734'; '640632']},
Base: 9,{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 2; 'List of fixed points': []},{'Max len of loop': 4; 'List of fixed points': ['62853']},{'Max len of loop': 13; 'List of fixed points': []},
Base: 10,{'Max len of loop': 4; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['495']},{'Max len of loop': 0; 'List of fixed points': ['6174']},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 6; 'List of fixed points': ['549945'; '631764']},
Base: 11,{'Max len of loop': 0; 'List of fixed points': ['37']},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 4; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': []},
Base: 12,{'Max len of loop': 5; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['5B6']},{'Max len of loop': 5; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': ['83B74']},{'Max len of loop': 9; 'List of fixed points': ['65BB56']},
Base: 13,{'Max len of loop': 2; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 5; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['951A74']},
Base: 14,{'Max len of loop': 3; 'List of fixed points': ['49']},{'Max len of loop': 0; 'List of fixed points': ['6D7']},{'Max len of loop': 2; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 11; 'List of fixed points': ['76DD67']},
Base: 15,{'Max len of loop': 0; 'List of fixed points': []},{'Max len of loop': 1; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': ['92B6']},{'Max len of loop': 0; 'List of fixed points': ['A4E95']},{'Max len of loop': 8; 'List of fixed points': []},
Base: 16,{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 0; 'List of fixed points': ['7F8']},{'Max len of loop': 5; 'List of fixed points': []},{'Max len of loop': 3; 'List of fixed points': []},{'Max len of loop': 4; 'List of fixed points': ['87FF78']},
