,2,3,4,5,6,7,8,9,10,11,12,13
2,"00, 01","000, 011","0000, 0111, 1001","00000, 01111, 10101","000000, 011111, 101101, 110001","0000000, 0111111, 1011101, 1101001","00000000, 01111111, 10111101, 11011001, 11100001","000000000, 011111111, 101111101, 110111001, 111010001","0000000000, 0111111111, 1011111101, 1101111001, 1110110001, 1111000001","00000000000, 01111111111, 10111111101, 11011111001, 11101110001, 11110100001","000000000000, 011111111111, 101111111101, 110111111001, 111011110001, 111101100001, 111110000001","0000000000000, 0111111111111, 1011111111101, 1101111111001, 1110111110001, 1111011100001, 1111101000001"
3,00,000,0000,"00000, 20211",000000,"0000000, 2202101","00000000, 21022111","000000000, 222021001","0000000000, 2210221101","00000000000, 21102221111, 22220210001","000000000000, 222102211001","0000000000000, 2211022211101, 2222202100001"
4,00,"000, 132","0000, 3021",00000,"000000, 310221, 213312, 330201","0000000, 3203211","00000000, 31102221, 33102201, 33302001","000000000, 321032211, 221333112, 332032101","0000000000, 3220332111, 3111022221, 3331022001, 3311022201, 3333020001","00000000000, 32110322211, 33210322101, 33320321001","000000000000, 322103322111, 311110222221, 331110222201, 222133331112, 332203321101, 333310220001, 333110222001, 333330200001","0000000000000, 3211103222211, 3222033321111, 3321103222101, 3332103221001, 3333203210001"
5,"00, 13",000,"0000, 3032",00000,000000,0000000,00000000,"000000000, 432043211",0000000000,"00000000000, 44320432101",000000000000,"0000000000000, 4443204321001"
6,00,"000, 253",0000,"00000, 41532","000000, 420432, 530421, 325523",0000000,"00000000, 43155322, 55304201","000000000, 332555223","0000000000, 5331044221, 4321044322, 4421553312, 5553042001","00000000000, 43315553222, 54320543211","000000000000, 553310442201, 333255552223, 555530420001","0000000000000, 4432155533212, 5543205432101"
7,00,000,0000,00000,000000,0000000,00000000,000000000,0000000000,"00000000000, 65430653211",000000000000,"0000000000000, 6543206543211, 6654306532101"
8,"00, 25","000, 374",0000,00000,"000000, 640632, 437734","0000000, 6417532","00000000, 75306421","000000000, 443777334","0000000000, 7753064201",00000000000,"000000000000, 654310664322, 664317754312, 444377773334, 777530642001",0000000000000
9,00,000,0000,"00000, 62853",000000,0000000,"00000000, 65288533","000000000, 753186532","0000000000, 6632885523","00000000000, 65528885333",000000000000,"0000000000000, 6653288855323"
10,00,"000, 495","0000, 6174",00000,"000000, 631764, 549945",0000000,"00000000, 97508421, 63317664","000000000, 864197532, 554999445","0000000000, 9753086421, 9975084201, 6333176664","00000000000, 86431976532","000000000000, 975330866421, 555499994445, 997530864201, 999750842001, 633331766664","0000000000000, 8643319766532"
11,"00, 37",000,0000,00000,000000,0000000,"00000000, 74318764","000000000, 9751A8532",0000000000,00000000000,"000000000000, 764321887644",0000000000000
12,00,"000, 5B6",0000,"00000, 83B74","000000, 65BB56","0000000, 962B853","00000000, A850A632, 873BB744","000000000, 665BBB556","0000000000, 8843BB7734","00000000000, A8641B97532, 8773BBB7444","000000000000, B97530A86421, 6665BBBB5556","0000000000000, 88743BBB77434"
13,00,000,0000,00000,"000000, 951A74",0000000,"00000000, 9541A874",000000000,"0000000000, 95441A8874",00000000000,"000000000000, 954441A88874",0000000000000
